WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,covered,disused,ele,highway,historic,layer,leisure,name,office,operator,power,ref,shop,sport,tourism
"POINT (-6.19854579913716 36.4639064956106)","4036270846",,,,cafe,,,,,,,,,,Heladería,,,,,,,
"POINT (-6.19745589913731 36.4646550956106)","3724782725",,,,cafe,,,,,,,,,,La buhardilla Café-Lectura,,,,,,,
"POINT (-6.19759689913729 36.4649072956106)","4036271725",,,,cafe,,,,,,,,,,ÖOOH!,,,,,,,
"POINT (-6.19900689913709 36.4655016956105)","4044561479",,,,cafe,,,,,,,,,,La Florida,,,,,,,
"POINT (-6.19766989913728 36.4655478956105)","4044561490",,,,cafe,,,,,,,,,,La Teja,,,,,,,
"POINT (-6.1967762991374 36.4654485956105)","4973606421",,,"85",cafe,,,,,,,,,,La Siciliana Gelateria Artigianale,,,,,,,
"POINT (-6.19698849913737 36.4663127956104)","5763677778",,,,cafe,,,,,,,,,,Casa Berlanga,,,,,,,
"POINT (-6.19669159913741 36.4659345956105)","4036270868",,,,cafe,,,,,,,,,,La Mallorquina,,,,,,,
"POINT (-6.1946680991377 36.4735476956099)","4787188524",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.28553799912505 36.5170910956062)","1744163275",,,,cafe,,,,,,,,,,La mirilla,,,,,,,
"POINT (-6.28520169912509 36.5170390956062)","4142500339",,,,cafe,,,,,,,,,,Bar Las Viandas,,,,,,,
"POINT (-6.26762089912754 36.4885090956086)","1623823880",,,,cafe,,,,,,,,,,Nahu Beach,,,,,,,
"POINT (-6.27333669912674 36.4982075956078)","4866551040",,,,cafe,,,,,,,,,,Cafeteria y Heladeria MIRA,,,,,,,
"POINT (-6.27748869912617 36.5056608956072)","1743756816",,,,cafe,,,,,,,,,,Cafeteria Baro,,,,,,,
"POINT (-6.27327129912675 36.5051673956072)","5444077424",,,,cafe,,,,,,,,,,Cafetería Las tres Ranas,,,,,,,
"POINT (-6.27155449912699 36.4966892956079)","4450673592",,,,cafe,,,,,,,,,,El Abuelo,,,,,,,
"POINT (-6.27214129912691 36.4987364956078)","5065996963",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.27206619912692 36.4991331956077)","5065996961",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.2686288991274 36.5005278956076)","5066079272",,,,cafe,,,,,,,,,,Zona Franca,,,,,,,
"POINT (-6.26826309912745 36.5044708956073)","5066078921",,,,cafe,,,,,,,,,,La última carta,,,,,,,
"POINT (-6.26722949912759 36.5022603956075)","5066037507",,,,cafe,,,,,,,,,,Bar El de Dentro,,,,,,,
"POINT (-6.26568459912781 36.5022439956075)","5066037518",,,,cafe,,,,,,,,,,Bar Costa,,,,,,,
"POINT (-6.27835209912605 36.507778895607)","5588184066",,,,cafe,,,,,,,,,,Nebraska,,,,,,,
"POINT (-6.27685999912625 36.508428895607)","5423161031",,,,cafe,,,,,,,,,,Cafetería,,,,,,,
"POINT (-6.27626609912634 36.5101349956068)","2729324469",,,,cafe,,,,,,,,,,Las Tres Marías,,,,,,,
"POINT (-6.27963669912587 36.5135321956065)","5379468858",,,,cafe,,,,,,,,,,Cafetería,,,,,,,
"POINT (-6.27710339912622 36.5143778956065)","5342665777",,,,cafe,,,,,,,,,,Bar stop,,,,,,,
"POINT (-6.30624899912216 36.532637395605)","3769297306",,,,cafe,,,,,,,,,,Quilla,,,,,,,
"POINT (-6.30378289912251 36.5289231956053)","2063165065",,,,cafe,,,,,,,,,,La Punta del Sur,,,,,,,
"POINT (-6.2909264991243 36.5293728956052)","1743989996",,,,cafe,,,,,,,,,,Cafe-bar Casa Postas,,,,,,,
"POINT (-6.28858889912462 36.5241924956057)","3022010484",,,"1",cafe,,,,,,,,,,El Pelícano MusiCafé,,,,,,,
"POINT (-6.30390099912249 36.5315746956051)","4815068921",,,,cafe,,,,,,,,,,Café Bar El Periquito,,,,,,,
"POINT (-6.30281169912264 36.5296762956052)","7666490486",,,,cafe,,,,,,,,,,La Granja Ice Cream & Coffee,,,,,,,
"POINT (-6.3031034991226 36.5301830956052)","6963129195",,,,cafe,,,,,,,,,,El Legado,,,,,,,
"POINT (-6.30258539912267 36.5314418956051)","4815079121",,,,cafe,,,,,,,,,,El bar nuestro de cada dia,,,,,,,
"POINT (-6.29973099912307 36.5301049956052)","3614235057",,,,cafe,,,,,,,,,,Las Murallas,,,,,,,
"POINT (-6.29826629912327 36.5314533956051)","1623823635",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.29748569912338 36.5308968956051)","1623823843",,,,cafe,,,,,,,,,,La Marina,,,,,,,
"POINT (-6.29679979912348 36.5308840956051)","5441184921",,,,cafe,,,,,,,,,,Tearoom Granier,,,,,,,
"POINT (-6.2973730991234 36.5311898956051)","5382888421",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.29702809912345 36.5310512956051)","3811371850",,,,cafe,,,,,,,,,,Andalucía,,,,,,,
"POINT (-6.29692859912346 36.5311700956051)","5824380056",,,,cafe,,,,,,,,,,Nino’s,,,,,,,
"POINT (-6.29549519912366 36.5309391956051)","3761636474",,,,cafe,,,,,,,,,,Café Royalty,,,,,,,
"POINT (-6.29892639912318 36.5343379956048)","4634557069",,,,cafe,,,,,,,,,,Andalucía,,,,,,,
"POINT (-6.29823909912328 36.5340484956048)","3545286020",,,,cafe,,,,,,,,,,Chamara,,,,,,,
"POINT (-6.29858959912323 36.5343665956048)","1743998385",,,,cafe,,,,,,,,,,Heladeria Los Italianos,,,,,,,
"POINT (-6.29698929912345 36.5327350956049)","1566701303",,,"2",cafe,,,,,,,,,,Cremeria Vienna,,,,,,,
"POINT (-6.29703479912345 36.5347567956048)","3612147685",,,,cafe,,,,,,,,,,Piccol'a,,,,,,,
"POINT (-6.29562569912364 36.5344163956048)","4815778321",,,,cafe,,,,,,,,,,Café Bar V Centemario,,,,,,,
"POINT (-6.30411749912246 36.5353967956048)","3614235051",,,,cafe,,,,,,,,,,Bar del Parque,,,,,,,
"POINT (-6.2973914991234 36.5360572956047)","3614235056",,,,cafe,,,,,,,,,,La Fuente,,,,,,,
"POINT (-6.29467109912378 36.5296369956052)","4973674156",,,,cafe,,,,,,,,,,Narigoni,,,,,,,
"POINT (-6.2937430991239 36.5296451956052)","4264596490",,,,cafe,,,,,,,,,,Atlantida,,,,,,,
"POINT (-6.29271089912405 36.5301803956052)","5747584221",,,"4",cafe,,,,,,,,,,Café Bar Costa,,,,,,,
"POINT (-6.29507279912372 36.532073295605)","2405626507",,,"23",cafe,,,,,,,,,,La Clandestina Librería-Café,,,,,,,
"POINT (-6.29294819912401 36.5310284956051)","5159678122",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.29290609912402 36.5310253956051)","5043380421",,,2-4,cafe,,,,,,,,,,La Vaca Atada,,,,,,,
"POINT (-6.29291339912402 36.5311383956051)","4807737822",,,,cafe,,,,,,,,,,La Marquesa de las Huevas,,,,,,,
"POINT (-6.29280119912404 36.5312133956051)","3612147686",,,,cafe,,,,,,,,,,Terraza Joseph,,,,,,,
"POINT (-6.29095199912429 36.5301239956052)","3022028355",,,"1",cafe,,,,,,,,,,Top Coffee Shop,,,,,,,
"POINT (-6.28626989912494 36.5300694956052)","2750420649",,,,cafe,,,,,,,,,,La Lonja,,,,,,,
