	PROD:Oil Rate (H), sm3/day	INJECTOR:Water Injection Rate (H), sm3/day	PROD:Liquid Rate (H), sm3/day	PROD:Oil Total (H), sm3	PROD:Liquid Total (H), sm3	PROD:Water Rate (H), sm3/day	PROD:Gas Rate (H), sm3/day	PROD:Bottom Hole Pressure (H), Bars
07/04/2018 17:05	0	75	0	0	0	0	0	0
07/04/2018 17:35	0	75	0	0	0	0	0	0
07/04/2018 18:05	0	75	0	0	0	0	0	0
07/04/2018 18:36	0	75	0	0	0	0	0	0
07/04/2018 19:06	0	75	0	0	0	0	0	0
07/04/2018 19:36	0	75	0	0	0	0	0	0
07/04/2018 20:06	0	75	0	0	0	0	0	0
07/04/2018 20:36	0	75	0	0	0	0	0	0
07/04/2018 21:07	0	75	0	0	0	0	0	0
07/04/2018 21:37	0	75	0	0	0	0	0	0
07/04/2018 22:07	0	75	0	0	0	0	0	0
07/04/2018 22:37	0	75	0	0	0	0	0	0
07/04/2018 23:08	0	75	0	0	0	0	0	0
07/04/2018 23:38	0	75	0	0	0	0	0	0
08/04/2018 0:08	0	75	0	0	0	0	0	0
08/04/2018 0:38	0	75	0	0	0	0	0	0
08/04/2018 1:09	0	75	0	0	0	0	0	0
08/04/2018 2:09	0	75	0	0	0	0	0	0
08/04/2018 3:10	0	75	0	0	0	0	0	0
08/04/2018 4:10	0	75	0	0	0	0	0	0
08/04/2018 5:11	0	75	0	0	0	0	0	0
08/04/2018 6:11	0	75	0	0	0	0	0	0
08/04/2018 7:12	0	75	0	0	0	0	0	0
08/04/2018 8:12	0	75	0	0	0	0	0	0
08/04/2018 9:12	0	75	0	0	0	0	0	0
08/04/2018 10:13	0	75	0	0	0	0	0	0
08/04/2018 11:13	0	75	0	0	0	0	0	0
08/04/2018 12:14	0	75	0	0	0	0	0	0
08/04/2018 13:14	0	75	0	0	0	0	0	0
08/04/2018 14:15	0	75	0	0	0	0	0	0
08/04/2018 15:15	0	75	0	0	0	0	0	0
08/04/2018 16:16	0	75	0	0	0	0	0	0
08/04/2018 17:16	0	75	0	0	0	0	0	0
08/04/2018 18:17	0	75	0	0	0	0	0	0
08/04/2018 19:17	0	75	0	0	0	0	0	0
08/04/2018 20:18	0	75	0	0	0	0	0	0
08/04/2018 21:18	0	75	0	0	0	0	0	0
08/04/2018 22:19	0	75	0	0	0	0	0	0
08/04/2018 23:19	0	75	0	0	0	0	0	0
09/04/2018 0:20	0	75	0	0	0	0	0	0
09/04/2018 1:20	0	75	0	0	0	0	0	0
09/04/2018 3:21	0	75	0	0	0	0	0	0
09/04/2018 5:22	0	75	0	0	0	0	0	0
09/04/2018 7:23	0	75	0	0	0	0	0	0
09/04/2018 9:24	0	75	0	0	0	0	0	0
09/04/2018 11:25	0	75	0	0	0	0	0	0
09/04/2018 13:26	0	75	0	0	0	0	0	0
09/04/2018 15:27	0	75	0	0	0	0	0	0
09/04/2018 17:28	0	75	0	0	0	0	0	0
09/04/2018 19:29	0	75	0	0	0	0	0	0
09/04/2018 21:30	0	75	0	0	0	0	0	0
09/04/2018 23:31	0	75	0	0	0	0	0	0
10/04/2018 1:32	0	75	0	0	0	0	0	0
10/04/2018 2:02	0	0	0	0	0	0	0	0
10/04/2018 2:32	0	0	0	0	0	0	0	0
10/04/2018 3:02	0	0	0	0	0	0	0	0
10/04/2018 3:33	0	0	0	0	0	0	0	0
10/04/2018 4:03	0	0	0	0	0	0	0	0
10/04/2018 4:33	0	0	0	0	0	0	0	0
10/04/2018 5:03	0	0	0	0	0	0	0	0
10/04/2018 5:34	0	0	0	0	0	0	0	0
10/04/2018 6:04	0	0	0	0	0	0	0	0
10/04/2018 6:34	0	0	0	0	0	0	0	0
10/04/2018 7:04	0	0	0	0	0	0	0	0
10/04/2018 7:35	0	0	0	0	0	0	0	0
10/04/2018 8:05	0	0	0	0	0	0	0	0
10/04/2018 8:35	0	0	0	0	0	0	0	0
10/04/2018 9:05	0	0	0	0	0	0	0	0
10/04/2018 9:36	0	0	0	0	0	0	0	0
10/04/2018 10:06	0	0	0	0	0	0	0	0
10/04/2018 10:36	0	0	0	0	0	0	0	0
10/04/2018 11:06	0	0	0	0	0	0	0	0
10/04/2018 11:36	0	0	0	0	0	0	0	0
10/04/2018 12:07	0	0	0	0	0	0	0	0
10/04/2018 12:37	0	0	0	0	0	0	0	0
10/04/2018 13:07	0	0	0	0	0	0	0	0
10/04/2018 13:37	0	0	0	0	0	0	0	0
10/04/2018 14:08	0	0	0	0	0	0	0	0
10/04/2018 14:38	0	0	0	0	0	0	0	0
10/04/2018 15:08	0	0	0	0	0	0	0	0
10/04/2018 15:38	0	0	0	0	0	0	0	0
10/04/2018 16:09	0	0	0	0	0	0	0	0
10/04/2018 16:39	0	0	0	0	0	0	0	0
10/04/2018 17:09	0	0	0	0	0	0	0	0
10/04/2018 17:39	0	0	0	0	0	0	0	0
10/04/2018 18:10	0	0	0	0	0	0	0	0
10/04/2018 18:40	0	0	0	0	0	0	0	0
10/04/2018 19:10	0	0	0	0	0	0	0	0
10/04/2018 19:40	0	0	0	0	0	0	0	0
10/04/2018 20:11	0	0	0	0	0	0	0	0
10/04/2018 20:41	0	0	0	0	0	0	0	0
10/04/2018 21:11	0	0	0	0	0	0	0	0
10/04/2018 21:41	0	0	0	0	0	0	0	0
10/04/2018 22:12	0	0	0	0	0	0	0	0
10/04/2018 22:42	0	0	0	0	0	0	0	0
10/04/2018 23:12	0	0	0	0	0	0	0	0
10/04/2018 23:42	0	0	0	0	0	0	0	0
11/04/2018 0:12	0	0	0	0	0	0	0	0
11/04/2018 0:43	0	0	0	0	0	0	0	0
11/04/2018 1:13	0	0	0	0	0	0	0	0
11/04/2018 1:43	0	0	0	0	0	0	0	0
11/04/2018 2:44	0	0	0	0	0	0	0	0
11/04/2018 3:44	0	0	0	0	0	0	0	0
11/04/2018 4:45	0	0	0	0	0	0	0	0
11/04/2018 5:45	0	0	0	0	0	0	0	0
11/04/2018 6:46	0	0	0	0	0	0	0	0
11/04/2018 7:46	0	0	0	0	0	0	0	0
11/04/2018 8:47	0	0	0	0	0	0	0	0
11/04/2018 9:47	0	0	0	0	0	0	0	0
11/04/2018 10:48	0	0	0	0	0	0	0	0
11/04/2018 11:48	0	0	0	0	0	0	0	0
11/04/2018 12:48	0	0	0	0	0	0	0	0
11/04/2018 13:49	0	0	0	0	0	0	0	0
11/04/2018 14:49	0	0	0	0	0	0	0	0
11/04/2018 15:50	0	0	0	0	0	0	0	0
11/04/2018 16:50	0	0	0	0	0	0	0	0
11/04/2018 17:51	0	0	0	0	0	0	0	0
11/04/2018 18:51	0	0	0	0	0	0	0	0
11/04/2018 19:52	0	0	0	0	0	0	0	0
11/04/2018 20:52	0	0	0	0	0	0	0	0
11/04/2018 21:53	0	0	0	0	0	0	0	0
11/04/2018 22:53	0	0	0	0	0	0	0	0
11/04/2018 23:54	0	0	0	0	0	0	0	0
12/04/2018 0:54	0	0	0	0	0	0	0	0
12/04/2018 1:55	0	0	0	0	0	0	0	0
12/04/2018 5:55	0	0	0	0	0	0	0	0
12/04/2018 9:56	0	0	0	0	0	0	0	0
12/04/2018 13:56	0	0	0	0	0	0	0	0
12/04/2018 17:57	0	0	0	0	0	0	0	0
12/04/2018 21:57	0	0	0	0	0	0	0	0
